count,full_price,area,pv,overprice,pv+overprice,number,project_name,preset
212,8850505,66.73,1778951.51,616023.0,2394974.51,178,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658e9dcdce0c9.png
213,7478800,53.42,1503238.8,886772.0,2390010.8,180,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658e9dcf286d3.png
214,8704358,68.34,1749575.96,271202.0,2020777.96,182,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee75adcd9e.png
215,7342453,56.71,1475833.05,344439.0,1820272.05,187,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee75d65ce3.png
216,7513463,58.99,1510206.06,234097.0,1744303.06,188,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee75dda163.png
217,8695453,67.16,1747786.05,407909.0,2155695.05,189,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
218,7461842,56.71,1499830.24,463828.0,1963658.24,194,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
219,7506884,57.98,1508883.68,352152.0,1861035.68,195,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
220,8695453,67.16,1747786.05,407909.0,2155695.05,196,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
221,7506884,57.98,1508883.68,352152.0,1861035.68,202,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
222,8695453,67.16,1747786.05,407909.0,2155695.05,203,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
223,7461842,56.71,1499830.24,463828.0,1963658.24,208,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
224,8695453,67.16,1747786.05,407909.0,2155695.05,210,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
225,7506884,57.98,1508883.68,352152.0,1861035.68,216,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
226,8766147,67.16,1761995.55,478603.0,2240598.55,217,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
227,7521537,56.71,1511828.94,523523.0,2035351.94,222,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
228,7567916,57.98,1521151.12,413184.0,1934335.12,223,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
229,8766147,67.16,1761995.55,478603.0,2240598.55,224,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
230,7521537,56.71,1511828.94,523523.0,2035351.94,229,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
231,7567916,57.98,1521151.12,413184.0,1934335.12,230,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
232,8766147,67.16,1761995.55,478603.0,2240598.55,231,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
233,7521537,56.71,1511828.94,523523.0,2035351.94,236,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
234,7567916,57.98,1521151.12,413184.0,1934335.12,237,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
235,8766147,67.16,1761995.55,478603.0,2240598.55,238,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
236,7567916,57.98,1521151.12,413184.0,1934335.12,244,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
237,8836842,67.16,1776205.24,549298.0,2325503.24,245,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
238,7581232,56.71,1523827.63,583218.0,2107045.63,250,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
239,7628947,57.98,1533418.35,474215.0,2007633.35,251,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
240,8836842,67.16,1776205.24,549298.0,2325503.24,252,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
241,7628947,57.98,1533418.35,474215.0,2007633.35,258,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
242,8836842,67.16,1776205.24,549298.0,2325503.24,259,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
243,7581232,56.71,1523827.63,583218.0,2107045.63,264,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
244,7628947,57.98,1533418.35,474215.0,2007633.35,265,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
245,8907537,67.16,1790414.94,619993.0,2410407.94,266,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
246,7939400,56.71,1595819.4,941386.0,2537205.4,271,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
247,7995137,57.98,1607022.54,840405.0,2447427.54,272,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
248,8907537,67.16,1790414.94,619993.0,2410407.94,273,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
249,7939400,56.71,1595819.4,941386.0,2537205.4,278,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee802ecdc7.png
250,7995137,57.98,1607022.54,840405.0,2447427.54,279,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
251,8907537,67.16,1790414.94,619993.0,2410407.94,280,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee8003ff5e.png
252,7995137,57.98,1607022.54,840405.0,2447427.54,286,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee803742f8.png
253,6776653,52.34,1362107.25,317897.0,1680004.25,291,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee772d783f.png
254,6813158,51.78,1369444.76,423506.0,1792950.76,297,Форт,https://pb9457.profitbase.ru/uploads/preset/9457/658ee80fe85bd.png
255,7170800,51.22,1441330.8,850252.0,2291582.8,133,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c1434837.png
